datei,gnd_id,gnd_url,name
sf_11039.xml,16105018-9,https://d-nb.info/gnd/16105018-9,"Gustav-Kiepenheuer-Verlag (Potsdam)"
sf_11141.xml,10291864-8,https://d-nb.info/gnd/10291864-8,"Ente Italiano Audizione Radiofoniche (Rom)"
sf_11154.xml,1355637929,https://d-nb.info/gnd/1355637929,"Editorial Calpe (Madrid)"
sf_11173.xml,4762379-2,https://d-nb.info/gnd/4762379-2,"Schlesische Funkstunde-AG (Breslau)"
sf_11194.xml,44825-4,https://d-nb.info/gnd/44825-4,"Nordische Rundfunk AG (Hamburg)"
sf_11235.xml,16338874-X,https://d-nb.info/gnd/16338874-X,"Bank für Auswärtigen Handel"
sf_11260.xml,2005531-6,https://d-nb.info/gnd/2005531-6,"Deutsche Stunde in Bayern, Gesellschaft für Drahtlose Belehrung und Unterhaltung"
sf_11292.xml,2005594-8,https://d-nb.info/gnd/2005594-8,"Axel Juncker Verlag (Berlin)"
sf_11302.xml,1072912295,https://d-nb.info/gnd/1072912295,"Franz Gschihay (Buchhandel, Marienbad)"
sf_11326.xml,4484113-9,https://d-nb.info/gnd/4484113-9,"Volksbildungsverein Wiesbaden"
sf_11334.xml,506980-4,https://d-nb.info/gnd/506980-4,"Otto Harrassowitz, Buchhandlung und Antiquariat (Leipzig)"
sf_11361.xml,1072885662,https://d-nb.info/gnd/1072885662,"Staatsverlag der RSFSR (Moskau)"
sf_11372.xml,7721336-1,https://d-nb.info/gnd/7721336-1,"George Bell and Sons"
sf_11454.xml,112655-6,https://d-nb.info/gnd/112655-6,"Ernest Benn Ltd. (London)"
sf_11458.xml,6517195-0,https://d-nb.info/gnd/6517195-0,"Verlag Schmitz & Olbertz (Düsseldorf)"
sf_11464.xml,252788-1,https://d-nb.info/gnd/252788-1,"Nuova Casa Editore Licinio Cappelli (Bologna)"
sf_11474.xml,1186419687,https://d-nb.info/gnd/1186419687,"European Books Limited (London)"
sf_11482.xml,1073063208,https://d-nb.info/gnd/1073063208,"Alois Srdce (Prag)"
sf_11507.xml,2131643-0,https://d-nb.info/gnd/2131643-0,"Éditions Albin Michel (Paris)"
sf_11508.xml,5530717-6,https://d-nb.info/gnd/5530717-6,"Editura Hasefer (Bukarest)"
sf_11525.xml,10102945-7,https://d-nb.info/gnd/10102945-7,"Alfred A. Knopf, Inc. (New York)"
sf_11525.xml,127287-1,https://d-nb.info/gnd/127287-1,"Prentice Hall (Englewood Cliffs, NJ)"
sf_11537.xml,507685-7,https://d-nb.info/gnd/507685-7,"University of Chicago Press"
sf_11539.xml,5229354-3,https://d-nb.info/gnd/5229354-3,"D. C. Heath and Company (Boston)"
sf_11586.xml,5050747-3,https://d-nb.info/gnd/5050747-3,"Sperling & Kupfer (Mailand)"
sf_11602.xml,4467659-1,https://d-nb.info/gnd/4467659-1,"Heinrich Schmidt & Carl Günther (Leipzig)"
sf_11619.xml,1072919567,https://d-nb.info/gnd/1072919567,"Ig. Hertz (Bukarest)"
sf_11620.xml,2020113-8,https://d-nb.info/gnd/2020113-8,"Rudolf Lechner und Sohn (Wien)"
sf_11648.xml,1330836839,https://d-nb.info/gnd/1330836839,"Kirjastus Loodus (Tartu)"
sf_11684.xml,10102943-3,https://d-nb.info/gnd/10102943-3,"Viking Press (New York)"
sf_11708.xml,1197546642,https://d-nb.info/gnd/1197546642,"Editorial Apolo (Barcelona)"
