nachname,vorname,beruf,ort,original
Lotz,Hans,,,"Lotz, Hans"
Lucek,Rudolf,Buchhändler,Wien,"Lucek, Rudolf (Buchhändler, Wien)"
Lugt Melsert,Cor van der,,,"Lugt Melsert, Cor van der"
Löwenfeld,Hans,,,"Löwenfeld, Hans"
Machiels,Robert de,Theaterleiter und Dramatiker,Paris,"Machiels, Robert de (Theaterleiter und Dramatiker, Paris)"
Maixdorff,Karl von,,,"Maixdorff, Karl von"
Marcellini,Giovanni,,,"Marcellini, Giovanni"
Martin,Anton Karl,,,"Martin, Anton Karl"
Merk,,Theaterdirektor,Nürnberg,"Merk (Theaterdirektor, Nürnberg)"
Merwin,Bertold,,,"Merwin, Bertold"
Meyerhold,Thaddäus,Übersetzer 'Traumnovelle'?,,"Meyerhold, Thaddäus (Übersetzer 'Traumnovelle'?)"
Mingarro Sanmartín,José,Übersetzer,Spanien,"Mingarro Sanmartín, José (Übersetzer, Spanien)"
Mohr,Hans,Übersetzer ins Esparanto,,"Mohr, Hans (Übersetzer ins Esparanto)"
Morgenstern,Arthur,Verleger?,Brünn,"Morgenstern, Arthur (Verleger?, Brünn)"
Muret,Maurice,,,"Muret, Maurice"
Murray,Marr,Übersetzer,England,"Murray, Marr (Übersetzer, England)"
Nadler,Gisela,Übersetzerin und Journalistin,Lemberg,"Nadler, Gisela (Übersetzerin und Journalistin, Lemberg)"
Neldner,Paul,,,"Neldner, Paul"
Nettesheim,Leni,geb. Murdfield,,"Nettesheim, Leni (geb. Murdfield)"
Nillson,,Schauspielerin,England,"Nillson (Schauspielerin, England)"
Nitsche,Cornels Albrecht,Literaturhistoriker,Braunschweig,"Nitsche, Cornels Albrecht (Literaturhistoriker, Braunschweig)"
Norris,William,Theaterdirektor,Kopenhagen,"Norris, William (Theaterdirektor, Kopenhagen)"
Orth,Alexander,,,"Orth, Alexander"
Osterrieth,Albert,,,"Osterrieth, Albert"
Ovejero y Maury,Eduardo,,,"Ovejero y Maury, Eduardo"
