=== Gefundene PMB-Treffer ===
10222.xml  [org]  "Hans Bondy (Berlin)"  (no-match)
10222.xml  [person]  "Bondy, Hans (Verleger, Berlin)"  (no-match)
10222.xml  [person]  "Fred, Alfred W."  (no-match)
10223.xml  [org]  "Hans Bondy (Berlin)"  (no-match)
10223.xml  [person]  "Bondy, Hans (Verleger, Berlin)"  (no-match)
10223.xml  [person]  "Fred, Alfred W."  (no-match)
10225.xml  [person]  "Singer, Josef"  (no-match)
10227.xml  [person]  "Singer, Josef"  (no-match)
10229.xml  [org]  "Residenz-Theater Köln"  (no-match)
10230.xml  [person]  "Singer, Josef"  (no-match)
10231.xml  [org]  "Buchhandlung Carl Fr. Fleischer (Leipzig)"  (no-match)
10231.xml  [person]  "Singer, Josef"  (no-match)
10235.xml  [bibl]  "The fortnightly review"  (no-match)
10236.xml  [bibl]  "Martin Beradt: Go"  (no-match)
10236.xml  [person]  "Friedlaender, Ernst"  (no-match)
10236.xml  [person]  "Singer, Josef"  (no-match)
10237.xml  [person]  "Singer, Josef"  (no-match)
10246.xml  [bibl]  "The New Quarterly (London)"  (no-match)
10246.xml  [person]  "Tarlau, Lisa (Ps. L. Ysaye)"  (no-match)
10247.xml  [person]  "Entsch, Albert"  (no-match)
10251.xml  [person]  "Zöllner, Heinrich"  (no-match)
10252.xml  [person]  "Stephenson (unbekannter Korrespondenz von Oskar Eirich)"  (no-match)
10256.xml  [person]  "??lkner (Theaterdirektor)"  (no-match)
10259.xml  [person]  "Terry, Ethel Grey"  (no-match)
10260.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10261.xml  [org]  "Königliches Deutsches Landestheater Prag"  (no-match)
10263.xml  [bibl]  "Die Feder"  (no-match)
10263.xml  [org]  "Stuttgarter Schauspielhaus"  (no-match)
10264.xml  [bibl]  "Die Feder"  (no-match)
10266.xml  [org]  "Buchdruckerei Roitzsch"  (no-match)
10266.xml  [person]  "Valentin (Literaturagent, Budapest)"  (no-match)
10266.xml  [person]  "Zöllner, Heinrich"  (no-match)
